contrast,study,feature,n_group1_in_study,n_group0_in_study,mean_diff_clr_in_study
Male_vs_Female__within_Control,ThomasAM_2018b,Allisonella,16,12,0.7092476370772154
Male_vs_Female__within_Control,ThomasAM_2019_c,Allisonella,24,16,0.3424972546899656
Male_vs_Female__within_Control,VogtmannE_2016,Allisonella,37,15,0.49912802393094724
Male_vs_Female__within_Control,WirbelJ_2018,Allisonella,37,28,-0.43224250544043485
Male_vs_Female__within_Control,YachidaS_2019,Allisonella,136,115,0.7567548296718865
Male_vs_Female__within_Control,YuJ_2015,Allisonella,33,21,1.860037075189446
Male_vs_Female__within_Control,ZellerG_2014,Allisonella,28,33,0.40856410354824657
Male_vs_Female__within_Control,FengQ_2015,Acidaminococcus,36,25,-0.12831772389579
Male_vs_Female__within_Control,GuptaA_2019,Acidaminococcus,12,18,-0.53350854893803
Male_vs_Female__within_Control,HanniganGD_2017,Acidaminococcus,11,17,0.09216967389753838
Male_vs_Female__within_Control,KIM_ADENOMAS_2020,Acidaminococcus,62,40,0.09799076178842125
Male_vs_Female__within_Control,SINHA_CRC_2016,Acidaminococcus,56,33,-0.0728135679571178
Male_vs_Female__within_Control,ThomasAM_2018a,Acidaminococcus,13,11,1.7433912703452776
Male_vs_Female__within_Control,ThomasAM_2018b,Acidaminococcus,16,12,0.4612135438373426
Male_vs_Female__within_Control,ThomasAM_2019_c,Acidaminococcus,24,16,2.82988241145498
Male_vs_Female__within_Control,VogtmannE_2016,Acidaminococcus,37,15,-0.574331487455966
Male_vs_Female__within_Control,WirbelJ_2018,Acidaminococcus,37,28,0.11372778661695238
Male_vs_Female__within_Control,YachidaS_2019,Acidaminococcus,136,115,1.3488915756504416
Male_vs_Female__within_Control,YuJ_2015,Acidaminococcus,33,21,0.5444581943997542
Male_vs_Female__within_Control,ZellerG_2014,Acidaminococcus,28,33,0.5749733048697523
