Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,RandomForest,rCLR_Streptococcus parasanguinis,rCLR,Streptococcus parasanguinis,0.0013669355370671949,0.001427082975367825,0.0001331744867056229,84.0,80.5,64,10,0,10,0.0,0.03825523022721599,0.013389330579525596,91
All,RandomForest,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.00136401186247224,0.0013024233524900671,-0.00035726879415024935,84.6,86.0,60,10,0,10,0.0,0.03817340790150527,0.013360692765526845,92
All,RandomForest,PA_Escherichia coli,PA,Escherichia coli,0.0013606651918675321,0.0007977334197074003,-0.00020799438646756184,100.5,118.0,23,10,0,10,0.0,0.038079747556151726,0.013327911644653103,93
All,RandomForest,rCLR_Firmicutes bacterium CAG:110,rCLR,Firmicutes bacterium CAG:110,0.001357502409466812,0.0014356379754353326,-0.00023518733228742537,85.8,84.0,55,10,0,10,0.0,0.037991233529252016,0.013296931735238205,94
All,RandomForest,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.001326670608574928,0.0012770936116752798,-0.0002535382081144137,86.5,85.5,54,10,0,10,0.0,0.03712837086348994,0.012994929802221479,95
All,RandomForest,PA_Ruminococcus bicirculans,PA,Ruminococcus bicirculans,0.0013172753498513,0.0012264207304662712,-5.499873072504392e-05,91.9,92.0,39,10,0,10,0.0,0.036865433968683775,0.012902901889039321,96
All,RandomForest,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.0013026479699055201,0.0013066270047449363,-0.00020176117832363527,92.1,83.5,47,10,0,10,0.0,0.036456070269904425,0.012759624594466548,97
All,RandomForest,rCLR_Phascolarctobacterium faecium,rCLR,Phascolarctobacterium faecium,0.0012881992550008773,0.001122012583978885,0.0005441985703639,91.5,98.0,46,10,0,10,0.0,0.036051706713485045,0.012618097349719765,98
All,RandomForest,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.0012739819750271842,0.00112482439243272,2.755317664457724e-05,91.1,92.0,59,10,0,10,0.0,0.035653820124213004,0.01247883704347455,99
All,RandomForest,rCLR_Megamonas funiformis,rCLR,Megamonas funiformis,0.001261146842602758,0.0013374200806199302,-0.00033000423203374016,92.7,87.0,54,10,0,10,0.0,0.035294614490458905,0.012353115071660616,100
All,RandomForest,rCLR_Roseburia inulinivorans,rCLR,Roseburia inulinivorans,0.0012124812562591396,0.0012704369546665227,3.310808789060511e-05,93.7,90.5,67,10,0,10,0.0,0.033932653257296476,0.011876428640053767,101
All,RandomForest,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.0011850863120949156,0.001222608911968032,-0.00011355733274289107,96.0,92.5,60,10,0,10,0.0,0.03316597489709184,0.011608091213982144,102
All,RandomForest,rCLR_Eggerthella lenta,rCLR,Eggerthella lenta,0.0011746724877053697,0.0011540145669234735,4.564332720815332e-05,95.4,95.0,62,10,0,10,0.0,0.032874532295180545,0.01150608630331319,103
All,RandomForest,rCLR_Bacteroides ovatus,rCLR,Bacteroides ovatus,0.0011494373794943735,0.0010879990425712038,0.00012049481083217667,101.3,102.0,46,10,0,10,0.0,0.03216829937618598,0.011258904781665094,104
All,RandomForest,rCLR_Klebsiella pneumoniae,rCLR,Klebsiella pneumoniae,0.0011446140324566213,0.001106671090122545,-0.00012739858674592797,98.3,98.5,62,10,0,10,0.0,0.03203331257805879,0.011211659402320575,105
All,RandomForest,PA_Eubacterium sp. CAG:180,PA,Eubacterium sp. CAG:180,0.0011380883934214154,0.0011580269758128306,-4.657400315489493e-05,98.7,96.0,53,10,0,10,0.0,0.0318506852215361,0.011147739827537634,106
All,RandomForest,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.0011236064239477555,0.001137681508710292,0.00031939606001223764,99.4,95.0,69,10,0,10,0.0,0.031445390998556845,0.011005886849494896,107
All,RandomForest,rCLR_Bacteroides intestinalis,rCLR,Bacteroides intestinalis,0.001109589353139113,0.0009957742029199537,0.00011115866189961052,99.4,103.5,73,10,0,10,0.0,0.031053107488212023,0.010868587620874207,108
All,RandomForest,rCLR_[Ruminococcus] lactaris,rCLR,[Ruminococcus] lactaris,0.0011072888595110284,0.0009948964282718207,-0.0003955253055795111,100.7,105.5,54,10,0,10,0.0,0.030988725583585095,0.010846053954254782,109
