contrast,group1_label,group0_label,n_group1,n_group0,feature,mean_group1,mean_group0,median_group1,median_group0,mean_diff_clr,median_diff_clr,abs_mean_diff,ranksum_stat,p_value,rank_biserial,fdr_bh,significant_fdr_0_05
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Christensenella,-1.966313975713603,-1.8944570292369514,-2.150923974618016,-2.1235667502973907,-0.07185694647665164,-0.027357224320625484,0.07185694647665164,-0.5118250229831888,0.6087734758885788,-0.020053642714570885,0.8268415866546368,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Catenibacterium,-1.7950739284596549,-1.8605364658233057,-2.3876003276112545,-2.395858688779265,0.06546253736365082,0.008258361168010708,0.06546253736365082,0.5394195291471346,0.5895974087542251,0.021134813705921518,0.8268415866546368,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Agathobaculum,2.03395886626832,1.9698660045567358,2.635270169575952,2.4686210451946238,0.06409286171158413,0.1666491243813284,0.06409286171158413,0.5757699843823326,0.5647706642342992,0.022559048569527507,0.8268415866546368,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Anaerotignum,-1.559953269522454,-1.6181998702252374,-2.247366976783854,-2.3228384310097567,0.05824660070278331,0.07547145422590251,0.05824660070278331,0.5463181556881211,0.5848472582696314,0.021405106453759037,0.8268415866546368,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Dialister,-0.43960780195854493,-0.3201808570924942,-1.2758163406802314,-1.2627142420299755,-0.11942694486605071,-0.013102098650255911,0.11942694486605071,-0.483434521449129,0.6287872415749565,-0.018941284098469735,0.8414652791664858,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Pseudoflavonifractor,-1.9864028302990435,-1.8872539901878718,-2.2639016556298976,-2.2565320547483463,-0.09914884011117175,-0.007369600881551364,0.09914884011117175,-0.4600853239257902,0.6454549778455163,-0.01802644710578838,0.8512522171585795,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Faecalitalea,-2.0309238013015976,-1.8340237414648577,-2.4025290638115067,-2.2940672054763813,-0.19690005983673986,-0.10846185833512534,0.19690005983673986,-0.43726678998252727,0.6619178770426952,-0.017132401862940738,0.8521643278482564,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Sellimonas,-1.4688093659988644,-1.3696247981598557,-1.796347867265907,-1.7846071673955435,-0.09918456783900864,-0.011740699870363525,0.09918456783900864,-0.40754962949827783,0.6836043509112386,-0.015968063872255467,0.8521643278482564,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Coprobacillus,-2.053850017733009,-1.956463780492385,-2.3157285503888865,-2.245975657017346,-0.09738623724062401,-0.06975289337154056,0.09738623724062401,-0.4189588964699093,0.6752461723799749,-0.016415086493679287,0.8521643278482564,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Bacteroides,6.2164435854631135,6.158448934644763,6.466965262578627,6.619589907702627,0.0579946508183502,-0.15262464512399987,0.0579946508183502,-0.43089882702161664,0.6665419363898117,-0.016882900864936823,0.8521643278482564,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Clostridium,1.7572271020641275,1.8418769986021033,2.359088328911964,2.296175221517695,-0.08464989653797583,0.06291310739426903,0.08464989653797583,-0.3579325847611828,0.720393764913325,-0.01402403526280771,0.8585770460092079,False
