Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,LASSO,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.06055582976904307,0.05452650180775086,0.0072993710779187,115.1,101.5,58,10,0,10,0.0,0.06112808685819812,0.021394830400369342,109
All,LASSO,rCLR_Intestinibacter bartlettii,rCLR,Intestinibacter bartlettii,0.05901542885447362,0.05531701380211644,-0.0013505821112377646,113.5,103.0,74,10,0,10,0.0,0.059573129040571354,0.020850595164199973,110
All,LASSO,PA_Dorea formicigenerans,PA,Dorea formicigenerans,0.05610451262772452,0.052749191379919846,-0.0011019221634683799,120.6,105.5,54,10,0,10,0.0,0.05663470443926861,0.01982214655374401,111
All,LASSO,PA_Prevotella copri,PA,Prevotella copri,0.05558914222560137,0.04017489002078495,-0.00663984960374051,132.4,136.5,38,10,0,10,0.0,0.0561144637485658,0.01964006231199803,112
All,LASSO,PA_Slackia isoflavoniconvertens,PA,Slackia isoflavoniconvertens,0.05524450284863573,0.04874836657836914,-0.0060882370733084355,123.4,112.0,26,10,0,10,0.0,0.05576656750388945,0.019518298626361306,113
All,LASSO,PA_Barnesiella intestinihominis,PA,Barnesiella intestinihominis,0.055239026380400666,0.048834420577262214,0.004994501965944252,122.7,112.5,59,10,0,10,0.0,0.05576103928262279,0.019516363748917975,114
All,LASSO,rCLR_Ruminococcus bicirculans,rCLR,Ruminococcus bicirculans,0.054753672919905225,0.04423925650650248,-0.004072851672244475,120.5,123.5,59,10,0,10,0.0,0.05527109919587561,0.019344884718556464,115
All,LASSO,PA_Intestinibacter bartlettii,PA,Intestinibacter bartlettii,0.05442532596467474,0.035145288430667054,0.009318175976802397,129.4,138.5,41,10,0,10,0.0,0.05493964933752994,0.019228877268135477,116
All,LASSO,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.05346734113400098,0.04854352538914038,0.00017327120656595134,119.3,115.0,83,10,0,10,0.0,0.05397261147905114,0.0188904140176679,117
All,LASSO,PA_Alistipes finegoldii,PA,Alistipes finegoldii,0.052979623481638684,0.04644159874838892,-0.005523067027865898,130.8,129.0,46,10,0,10,0.0,0.05348028485864837,0.01871809970052693,118
All,LASSO,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.052391188996385396,0.04469931242688231,0.011361721144712874,125.4,127.5,35,10,0,10,0.0,0.05288628962380295,0.018510201368331033,119
All,LASSO,PA_Odoribacter splanchnicus,PA,Odoribacter splanchnicus,0.05205198885142839,0.03233835103112466,-0.007878540262087818,133.7,155.5,34,10,0,10,0.0,0.0525438840122817,0.018390359404298593,120
All,LASSO,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.05183919698671317,0.054496768015494766,-0.0047024432600779025,124.8,116.0,54,10,0,10,0.0,0.05232908124863962,0.018315178437023866,121
All,LASSO,rCLR_Slackia isoflavoniconvertens,rCLR,Slackia isoflavoniconvertens,0.05174089733188586,0.04246058161856256,0.0069166430130396485,126.8,122.5,70,10,0,10,0.0,0.0522298526547729,0.018280448429170516,122
All,LASSO,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.05084562560054264,0.04144887989498885,-0.0014772255214885704,124.3,126.5,54,10,0,10,0.0,0.051326120539071395,0.017964142188674988,123
All,LASSO,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.05077106044713233,0.04590121880616775,0.01624397075199744,121.5,123.0,80,10,0,10,0.0,0.05125085073942297,0.017937797758798037,124
