feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.8041456541498815,0.421312860669504,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Phocaeicola dorei,Phocaeicola dorei,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.8024368953996044,0.4223002779009687,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Dorea longicatena,Dorea longicatena,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.7817824475857518,0.43434243814184836,0.6473407335451558,0.5937215414572712,0.05361919208788457,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Ruminococcus bicirculans,Ruminococcus bicirculans,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.7765843782023816,0.4374040211153354,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.7660947025909524,0.44361995480559424,0.9573104666243608,1.0787629879238692,-0.12145252129950834,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Alistipes putredinis,Alistipes putredinis,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.7575128157880983,0.44874269081017293,0.5331873405840275,0.9127185432712712,-0.3795312026872437,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Parvimonas micra,Parvimonas micra,Adenoma,Control,183,397,4,FengQ_2015;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.7411188323700731,0.45862139192681606,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Dorea formicigenerans,Dorea formicigenerans,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,0.7343263044015564,0.4627498899129996,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.7339184667036573,0.4629984314796246,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
rCLR_Eubacterium ramulus,Eubacterium ramulus,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-0.7180927489995701,0.4727001007500854,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.8583075958583892,False
